Date,Open,High,Low,Close,Adj Close,Volume
6/29/10,10.12,10.14,9.75,9.88,6.580855,124866100
6/30/10,10.1,10.52,10.04,10.08,6.71407,182831300
7/1/10,10.23,10.63,10.02,10.57,7.040447,153383000
7/2/10,10.58,10.63,10.15,10.28,6.847282,71607100
7/6/10,10.42,10.57,10.04,10.16,6.767356,81246900
7/7/10,10.21,10.63,10.17,10.59,7.05377,72565300
7/8/10,10.72,10.83,10.45,10.62,7.07375,62355500
7/9/10,10.58,10.94,10.54,10.85,7.226949,50732700
7/12/10,10.84,11.13,10.83,11.1,7.393469,56354100
7/13/10,11.47,11.81,11.26,11.66,7.766474,103923200
7/14/10,11.62,11.92,11.54,11.81,7.866385,68051400
7/15/10,11.86,11.9,11.51,11.86,7.899689,66020400
7/16/10,11.75,11.78,11.3,11.34,7.553329,68905500
7/19/10,11.44,11.57,11.23,11.48,7.646577,49910000
7/20/10,11.3,11.76,11.25,11.75,7.826419,53134900
7/21/10,11.82,11.88,11.43,11.55,7.693203,67645100
7/22/10,11.76,12.22,11.75,12.09,8.052885,102031500
7/23/10,12.55,12.75,12.35,12.72,8.472515,161608200
7/26/10,12.82,13.15,12.75,12.94,8.619051,125770900
7/27/10,13.16,13.18,12.85,13.03,8.679,97305400
7/28/10,12.99,13.08,12.86,12.91,8.599073,59746700
7/29/10,13.03,13.11,12.72,12.97,8.639033,88510100
7/30/10,12.81,13.01,12.58,12.77,8.505819,79512400
8/2/10,13.06,13.2,12.94,13.16,8.76559,77124700
8/3/10,13.08,13.24,12.77,12.91,8.599073,115202600
8/4/10,13,13.21,12.95,13.11,8.732285,60875000
8/5/10,13.05,13.05,12.9,12.98,8.645697,51574800
8/6/10,12.83,13.05,12.8,13.04,8.685659,54704600
8/9/10,13.12,13.12,12.92,13.05,8.692322,39072000
8/10/10,12.94,13.03,12.8,12.92,8.605731,50265100
8/11/10,12.65,12.67,12.33,12.41,8.266034,68132100
8/12/10,12.03,12.39,11.9,12.27,8.17278,68017900
8/13/10,12.25,12.37,12.13,12.15,8.092854,41635500
8/16/10,11.96,12.15,11.88,11.99,7.986278,59316100
8/17/10,12.2,12.38,12.06,12.16,8.099513,61043500
8/18/10,12.17,12.29,11.8,12.2,8.126155,54218100
8/19/10,12.13,12.2,11.83,11.89,7.919669,61059000
8/20/10,11.85,11.9,11.6,11.77,7.839743,50806600
8/23/10,11.84,11.9,11.6,11.61,7.733169,42449600
8/24/10,11.28,11.49,11.09,11.24,7.48672,86299200
8/25/10,11.04,11.4,10.95,11.32,7.540006,78571900
8/26/10,11.4,11.56,11.14,11.17,7.440093,56953100
8/27/10,11.26,11.72,11.05,11.56,7.699864,63565200
8/30/10,11.58,11.68,11.35,11.35,7.559988,33651500
8/31/10,11.27,11.46,11.13,11.29,7.520027,64984700
9/1/10,11.53,11.89,11.46,11.61,7.733169,81988800
9/2/10,11.68,11.83,11.57,11.71,7.799776,39943600
9/3/10,11.88,12.14,11.84,12.07,8.039563,65243900
9/7/10,12.01,12.07,11.78,11.8,7.859725,42497600
9/8/10,11.81,11.95,11.7,11.8,7.859725,40798700
9/9/10,11.96,12.04,11.64,11.75,7.826419,48528500
9/10/10,11.81,11.99,11.75,11.79,7.853064,37849800
9/13/10,11.93,12,11.84,11.99,7.986278,36689700
9/14/10,11.96,12.05,11.89,11.98,7.979618,39772300
9/15/10,11.93,11.96,11.76,11.87,7.906349,54102700
9/16/10,12.12,12.53,12.1,12.44,8.286013,141408500
9/17/10,12.53,12.54,12.34,12.49,8.319318,68954600
9/20/10,12.55,12.6,12.38,12.57,8.372604,49812800
9/21/10,12.53,12.75,12.51,12.55,8.359282,59130900
9/22/10,12.43,12.54,12.29,12.38,8.246049,53139300
9/23/10,12.26,12.45,12.15,12.31,8.199423,46866400
9/24/10,12.42,12.57,12.39,12.56,8.365942,42647800
9/27/10,12.57,12.6,12.46,12.48,8.312656,28799700
9/28/10,12.48,12.53,12.27,12.52,8.339298,42671500
9/29/10,12.45,12.5,12.28,12.33,8.212746,45211800
9/30/10,12.44,12.46,12.2,12.24,8.152796,42679600
10/1/10,12.24,12.41,12.12,12.26,8.166118,54565500
10/4/10,12.57,12.92,12.53,12.84,8.552446,95949200
10/5/10,13,13.07,12.92,13.01,8.665676,74701900
10/6/10,13.06,13.45,13.04,13.24,8.818877,92326000
10/7/10,13.32,13.38,13.19,13.32,8.872159,53526700
10/8/10,13.3,13.72,13.28,13.66,9.098628,71857700
10/11/10,13.72,13.9,13.68,13.78,9.178558,48002800
10/12/10,13.71,13.85,13.51,13.78,9.178558,50056400
10/13/10,13.9,13.91,13.64,13.64,9.085306,59061900
10/14/10,13.88,14.01,13.78,13.91,9.265146,78814100
10/15/10,14,14.04,13.61,13.8,9.191878,61337700
10/18/10,13.75,13.9,13.64,13.88,9.245167,34852700
10/19/10,13.63,13.64,13.18,13.32,8.872159,84614000
10/20/10,13.45,13.73,13.35,13.64,9.085306,60800200
10/21/10,13.78,14.16,13.66,13.81,9.198541,85365000
10/22/10,13.86,14.01,13.83,13.95,9.291792,38003100
10/25/10,14.05,14.2,14.01,14.15,9.425007,77370800
10/26/10,13.97,14.47,13.92,14.36,9.564884,214814400
10/27/10,14.34,14.35,14.09,14.23,9.478293,81025700
10/28/10,14.29,14.32,14.06,14.22,9.471633,51719400
10/29/10,14.18,14.23,14.1,14.13,9.411683,52281900
11/1/10,14.32,14.37,14.16,14.23,9.478293,56606000
11/2/10,14.32,14.46,14.22,14.43,9.611509,54691100
11/3/10,14.48,15.2,14.44,15.18,10.111069,185667300
11/4/10,15.51,15.98,15.4,15.86,10.564,193232000
11/5/10,15.98,16.26,15.81,16.209999,10.797128,141539900
11/8/10,16.360001,16.49,16.059999,16.41,10.930345,127386000
11/9/10,16.530001,16.58,15.88,16.07,10.703876,133717300
11/10/10,16.32,16.709999,16.08,16.629999,11.076881,139738200
11/11/10,16.540001,16.66,16.200001,16.610001,11.06356,94746200
11/12/10,16.459999,16.530001,16.040001,16.299999,10.857075,91657100
11/15/10,16.809999,17.41,16.68,17,11.323328,233268400
11/16/10,17.190001,17.42,16.360001,16.51,10.996954,234481200
11/17/10,16.76,16.9,16.52,16.68,11.110185,127748600
11/18/10,16.77,16.870001,16.049999,16.120001,10.737183,256937900
11/19/10,16.02,16.379999,15.83,16.280001,10.843754,130323600
11/22/10,16.26,16.540001,16.110001,16.200001,10.790469,91288900
11/23/10,16.01,16.16,15.62,15.7,10.457428,96689100
11/24/10,15.95,16.059999,15.81,15.95,10.623947,66727700
11/26/10,15.81,16.18,15.75,16.1,10.72386,31557200
11/29/10,16.120001,16.120001,15.86,16.059999,10.697216,61577500
11/30/10,15.92,15.99,15.83,15.94,10.617289,71737400
